custom/center_lane_deviation,train/actor_loss,train/critic_loss,train/learning_rate,custom/reward,train/n_updates,train/ent_coef_loss,train/ent_coef,custom/total_reward,custom/mean_reward,custom/distance_covered,time/episodes,time/fps,time/total_timesteps,train/std,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
0.9787337121569991,-134.1973168849945,945.1301879882812,5.936066842024142e-05,-200,290112,1.146144870435819,0.15958578139543533,-167.0879310139327,-0.9231377404084679,12,,,,,,,
,,,,,,,,,,,2452,22,300181,0.04514630511403084,1247.82745042,107.45,7
1.1073042809138178,-237.3880877494812,1300.8532819747925,5.9338065200473384e-05,-200,290304,1.8852215635124594,0.16236806148663163,-147.06829609388512,-0.401825945611708,16,,,,,,,
0.6453561142810372,-325.1238627433777,1094.294153213501,5.9307934326456806e-05,-180,290560,2.3596877646632493,0.16573658934794366,-114.1049794209785,-0.19775559691677383,25,,,,,,,
1.9111209438353143,,,,-200,,,,-200,-0.3460207612456747,0,,,,,,,
1.0447652284708229,,,,-200,,,,-200,-0.3454231433506045,0,,,,,,,
,,,,,,,,,,,2456,21,300579,0.045107752084732056,1292.82583074,106.27,26
0.9479087629786669,-314.9387125968933,1990.2815771102905,5.929287178330888e-05,-200,290688,1.834778996417299,0.16754678240977228,-186.41709196982404,-0.25294042329691185,7,,,,,,,
1.0414565297368472,-319.83760595321655,1320.9793014526367,5.927781116940118e-05,-200,290816,1.7274012239649892,0.16886048833839595,-178.06259992400794,-0.20973215538752407,8,,,,,,,
0.8602499602164874,-354.7369532585144,1563.9396619796753,5.924769572930652e-05,-200,291072,1.7466689108987339,0.17140361806377769,-156.50034730851064,-0.14023328611873714,22,,,,,,,
1.1001326004093537,-371.70501947402954,1527.9326524734497,5.9225114213491125e-05,-200,291264,1.822641999926418,0.17332343920134008,-182.98689407835334,-0.1388367936861558,15,,,,,,,
,,,,,,,,,,,2460,26,301318,0.04504885524511337,1337.1637785500002,109.27,50
0.253288900915864,-405.8324728012085,1666.4852828979492,5.920253703846626e-05,-200,291456,1.704281055368483,0.17517962795682251,-103.99663328989833,-0.07060192348261937,12,,,,,,,
