custom/mean_reward,custom/center_lane_deviation,train/critic_loss,train/ent_coef_loss,train/n_updates,custom/distance_covered,custom/total_reward,train/learning_rate,train/actor_loss,custom/reward,train/ent_coef,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/std,time/episodes,time/time_elapsed
-1.0274828882377534,0.7076546316832726,1190.8625078201294,0.20716546225594357,290112,8,-157.20488190037628,5.936066842024142e-05,-184.52631163597107,-200,0.15931579214520752,,,,,,,
,,,,,,,,,,,1245.07161024,19,107.17,300153,0.04514796659350395,2452,7
-0.5941537221480976,1.146842957794919,1046.5561170578003,1.3265684032812715,290240,7,-182.99934642161406,5.9345599124752666e-05,-119.700718998909,-200,0.1603028755635023,,,,,,,
-0.33784253846994805,0.7209241836139123,1378.9243478775024,1.59463218646124,290432,14,-151.69129977300668,5.932299879884498e-05,-212.37918305397034,-200,0.16251763026230037,,,,,,,
-0.33941024663599273,1.2728379195232373,3865.5865650177,1.6359593764063902,290496,4,-189.73032786951993,5.931546632149586e-05,-213.8568422794342,-200,0.16331349103711545,,,,,,,
-0.2709590708854786,1.0387334902785663,1823.6345977783203,1.8080782111501321,290624,8,-178.83298678441588,5.930040281372782e-05,-201.6144196987152,-200,0.1649016763549298,,,,,,,
,,,,,,,,,,,1236.6079007199999,23,107.08,300660,0.04508092999458313,2456,27
-0.19238250493567077,0.8425475044813113,1461.6597204208374,1.797142053488642,290816,12,-160.63939162128509,5.927781116940118e-05,-210.796959400177,-200,0.16734001762233675,,,,,,,
-0.18321528307069038,0.6484489423103584,1041.0278024673462,2.0887670684605837,290944,7,-179.73419269234725,5.926275248473373e-05,-203.21573615074158,-200,0.16895189275965095,,,,,,,
-0.16149427768153937,0.6889509640917053,991.1081390380859,1.911350753158331,291072,5,-179.09715394882716,5.924769572930652e-05,-202.09038877487183,-200,0.17054667230695486,,,,,,,
-0.14489786267819751,0.710776517093505,922.0433216094971,1.7970170055050403,291200,5,-179.23865613293032,5.923264090311953e-05,-196.62761759757996,-200,0.17207437474280596,,,,,,,
,,,,,,,,,,,1238.2663619900002,24,108.46,301237,0.04503742605447769,2460,49
-0.10147072253185868,0.748044679897676,1218.9610328674316,1.7692494379007258,291392,21,-148.45166706410924,5.92100622811645e-05,-238.5139501094818,-200,0.17404165701009333,,,,,,,
