train/critic_loss,train/actor_loss,custom/total_reward,custom/mean_reward,custom/reward,train/learning_rate,custom/center_lane_deviation,train/n_updates,custom/distance_covered,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,time/total_timesteps
9.345483779907227,-9.922221183776855,-178.77438480478202,-0.9987395799149833,-200,0.001,0.6200863215028167,78,3,,,,,,
23.99821662902832,-6.581443786621094,-198.95539125614752,-0.6438685801169822,-200,0.001,0.9906312088984774,208,0,,,,,,
20.916893005371094,,-200,-0.6451612903225806,-200,0.001,1.3716884765689317,209,0,,,,,,
27.291603088378906,-3.8501758575439453,-198.9043099061416,-0.43908236182371213,-200,0.001,0.8794595783035561,352,1,,,,,,
,,,,,,,,,113.25,19,4,23,230.64726424999998,453
22.441864013671875,-11.012332916259766,-184.68147327545864,-0.31569482611189514,-200,0.001,0.8378434045641079,484,5,,,,,,
9.016332626342773,-9.963882446289062,-196.1627360702898,-0.28762864526435455,-200,0.001,0.8511143323768271,581,2,,,,,,
7.260490894317627,-7.701423645019531,-199.18367385821225,-0.25406080849261764,-200,0.001,0.757256725342838,683,1,,,,,,
5.697916507720947,-9.884746551513672,-196.83566681243664,-0.22316969026353362,-200,0.001,0.8146212965779965,781,2,,,,,,
,,,,,,,,,110.25,36,8,24,232.9292875,882
18.0191707611084,-6.718764305114746,-198.07593243946752,-0.20170665217868383,-200,0.001,0.7788154353007496,881,2,,,,,,
6.850058555603027,-6.921648979187012,-199.1142345026294,-0.18351542350472755,-200,0.001,0.7957256510104503,984,1,,,,,,
8.462230682373047,-8.976916313171387,-194.6787072591253,-0.16470279801956456,-200,0.001,0.8591980137875926,1081,2,,,,,,
77.98303985595703,-7.761341094970703,-197.3770242686277,-0.1544421160161406,-200,0.001,0.7862735865938588,1177,2,,,,,,
,,,,,,,,,106.5,53,12,24,149.75883908333333,1278
31.94229507446289,-6.906170845031738,-199.10242044707212,-0.14438174071578833,-200,0.001,0.8048931103183138,1278,2,,,,,,
7.910778999328613,-4.762977600097656,-199.1776489896575,-0.1344886218701266,-200,0.001,0.770524616385855,1380,1,,,,,,
5.779278755187988,-6.118573188781738,-199.16433380967635,-0.12605337582890908,-200,0.001,0.7679734039809769,1479,2,,,,,,
5.717926979064941,-8.606986999511719,-199.14254798963864,-0.11853723094621348,-200,0.001,0.8014592290091319,1579,1,,,,,,
,,,,,,,,,105.0,69,16,24,68.44623537500001,1680
18.1911563873291,-2.7610695362091064,-199.1908478059192,-0.11203084803482519,-200,0.001,0.785017227119397,1677,1,,,,,,
7.029003143310547,-3.649040699005127,-199.10151700557944,-0.10596142469695553,-200,0.001,0.7661275520977594,1778,2,,,,,,
